240,444203,107526,719,601513,062,true,false,false
448,627694,128673,453,847262,312,true,false,false
180,959587,196710,172,1295250,25,true,false,false
54,3485920,3520678,4145642,25,true,true,true
89,572545,3128104,25,861535,938,true,false,false
90,550481,2814680,5,772110,true,false,false
91,547702,2502713,5,698084,625,true,false,false
76,3431390,4560354,5,4594179,true,false,false
92,521859,2202399,640739,75,true,false,false
93,465545,1922067,25,595383,375,true,false,false
94,434214,1667744,625,555540,062,true,false,false
95,413205,1443036,125,518823,938,true,false,false
